rl twist dr chordD af
4.66304347826087 5.77306083930148 2.32608695652174 6 1
6.98913043478261 5.58732847057785 2.32608695652174 6 1
9.31521739130435 5.40159610185422 2.32608695652174 8.19959706378541 2
11.6413043478261 5.21586373313059 2.32608695652174 7.88529323944953 2
13.9673913043478 5.03013136440697 2.32608695652174 7.60260259773591 2
16.2934782608696 4.84439899568334 2.32608695652174 7.35089132303696 2
18.6195652173913 4.65866662695971 2.32608695652174 7.1257215220049 2
20.945652173913 4.47293425823608 2.32608695652174 6.92218778243528 2
23.2717391304348 4.28720188951245 2.32608695652174 6.73599785930457 2
25.5978260869565 4.10146952078883 2.32608695652174 6.56368104455405 2
27.9239130434783 3.9157371520652 2.32608695652174 6.40251240739977 2
30.25 3.73000478334157 2.32608695652174 6.25037128621583 2
32.5760869565217 3.54427241461794 2.32608695652174 6.10560589798583 2
34.9021739130435 3.35854004589432 2.32608695652174 5.96692255009454 2
37.2282608695652 3.17280767717069 2.32608695652174 5.83330013356995 2
39.554347826087 2.98707530844706 2.32608695652174 5.70392565310887 2
41.8804347826087 2.80134293972343 2.32608695652174 5.57814598734791 2
44.2065217391304 2.6156105709998 2.32608695652174 5.45543178464218 2
46.5326086956522 2.42987820227618 2.32608695652174 5.33535032312287 2
48.8586956521739 2.24414583355255 2.32608695652174 5.21754497520505 2
51.1847826086956 2.05841346482892 2.32608695652174 5.10171954990529 2
53.5108695652174 1.87268109610529 2.32608695652174 4.98762625664816 2
55.8369565217391 1.68694872738167 2.32608695652174 4.478914314229 2
58.1630434782609 1.50121635865804 2.32608695652174 4.38347480813074 2
60.4891304347826 1.31548398993441 2.32608695652174 4.28803530203248 2
62.8152173913044 1.12975162121078 2.32608695652174 4.19259579593422 2
65.1413043478261 0.944019252487154 2.32608695652174 4.09715628983597 2
67.4673913043478 0.758286883763525 2.32608695652174 4.00171678373771 2
69.7934782608696 0.572554515039898 2.32608695652174 3.90627727763945 2
72.1195652173913 0.386822146316271 2.32608695652174 3.81083777154119 2
74.445652173913 0.201089777592641 2.32608695652174 3.71539826544293 2
76.7717391304348 0.0153574088690149 2.32608695652174 3.61995875934467 2
79.0978260869565 -0.170374959854613 2.32608695652174 3.52451925324641 2
81.4239130434783 -0.356107328578241 2.32608695652174 3.42907974714815 2
83.75 -0.541839697301869 2.32608695652174 3.33364024104989 2
86.0760869565217 -0.727572066025497 2.32608695652174 3.23820073495164 2
88.4021739130435 -0.913304434749124 2.32608695652174 3.14276122885338 2
90.7282608695652 -1.09903680347275 2.32608695652174 3.04732172275512 2
93.054347826087 -1.28476917219638 2.32608695652174 2.95188221665686 2
95.3804347826087 -1.47050154092001 2.32608695652174 2.8564427105586 2
97.7065217391304 -1.65623390964364 2.32608695652174 2.76100320446034 2
100.032608695652 -1.84196627836726 2.32608695652174 2.66556369836208 2
102.358695652174 -2.02769864709089 2.32608695652174 2.57012419226382 2
104.684782608696 -2.21343101581452 2.32608695652174 2.47468468616556 2
107.010869565217 -2.39916338453815 2.32608695652174 2.37924518006731 2
109.336956521739 -2.58489575326177 2.32608695652174 2.28380567396905 2
